fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-RawRenderedImage-L537_L545,9,9,9,0,9,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFDecompressor-L1143_L1152,8,8,7,0,0,0,8,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageMetadata-L888_L905,0,0,0,0,0,0,13,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageWriter-L1762_L1767,7,6,7,0,7,0,0,0
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageWriter-L745_L750,6,4,5,0,5,0,0,0
jano7-executor-afa9dd02560c69e26f4addcd5b68500c5e95241b-KeySequentialBoundedExecutorTest-L113_L117,0,0,0,0,0,0,0,0
JeffLi1993-java-core-learning-example-09f71b5606eeec1c65afafa4b3c7eddcc4a96732-CountDownLatchT-L26_L34,6,0,4,0,0,0,0,0
jenkins-infra-update-center2-5b1203f26470aa07d226974b599e53315a270a92-TieredUpdateSitesGenerator-L108_L113,0,0,0,0,0,0,0,0
jessin20161124-miniDubboOpen-a02a5c2b393456861401b14057752fb22a7308ab-DubboInvoker-L56_L60,1,0,1,0,4,0,0,0
jessin20161124-miniDubboOpen-a02a5c2b393456861401b14057752fb22a7308ab-FastjsonSerializer-L269_L270,3,0,2,0,2,0,0,0
jessin20161124-miniDubboOpen-a02a5c2b393456861401b14057752fb22a7308ab-NettyServerHandler-L104_L111,8,0,1,0,8,0,0,0
jetlang-remoting-505aadcc72f28bdf1796ce6fc5b490cece2e5375-JetlangTcpClient-L220_L225,5,0,0,0,0,4,0,0
jetlang-remoting-505aadcc72f28bdf1796ce6fc5b490cece2e5375-JetlangTcpClient-L337_L338,5,5,0,0,0,0,0,0
jfinal-jfinal-076e76a4941c989d7f535035295aa3d055123131-ProxyGenerator-L100_L110,2,2,2,0,0,0,0,0
jhunters-jprotobuf-0e326bf8704027adc8af182e7cebc0e7a9c38e30-PrecompileTask-L164_L168,0,0,0,0,0,0,0,0
jonatan-kazmierczak-class-visualizer-71015106c3316c02d366af71d9883c909d9ac772-GUIHandler-L35_L45,0,2,2,0,0,0,0,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPAssignmentField-L56_L59,6,6,6,0,6,0,6,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPProjectField-L52_L55,6,6,6,0,6,0,6,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPResourceField-L55_L58,6,6,6,0,6,0,6,0
joniles-mpxj-91540932b1db27a525f1ee9e9fb9d878acedfc74-MPPTaskField-L55_L58,6,6,6,0,6,0,6,0
jruby-jcodings-4eb6216f88f2b4ce80b555cc58e3f86e88b72c86-Transcoding-L231_L245,18,18,18,0,0,0,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Lexer-L1178_L1183,5,8,5,0,0,8,8,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L341_L349,9,9,9,9,0,8,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L352_L362,13,13,13,13,0,6,0,0
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Matcher-L434_L442,10,10,9,10,0,10,9,0
